        monx                      mony
  -1.6989700043360187      -0.74158035324552618     
  -1.7923916894982539      -0.90319046495528443     
  -1.8864907251724818       -1.0783612035109182     
  -1.9822712330395684       -1.2598741216609228     
  -2.0791812460476251       -1.4630398238612863     
  -2.1760912590556813       -1.6697094655606275     
  -2.2718416065364990       -1.8766356753084905     
  -2.3673559210260189       -2.0738126213364616     
  -2.4638929889859074       -2.2815828464186541     
  -2.5599066250361124       -2.4707440317335809     
  -2.6560982020128319       -2.6653256920070723     
  -2.7528164311882715       -2.8720962112904012     
  -2.8494194137968996       -3.0674994700345324     
  -2.9459607035775686       -3.2565346687628534     
